Topics,Token Predictions Corrected
-1,"(('Rio', 'I-LOC'), 7)"
0,"(('mexicana', 'I-MISC'), 308)"
1,"(('Maria', 'I-PER'), 5)"
2,"(('Rio', 'I-LOC'), 4)"
3,"(('Barra', 'I-LOC'), 4)"
4,"(('Eveline', 'I-PER'), 4)"
5,"(('Maria', 'I-PER'), 4)"
6,"(('Guacamole', 'I-ORG'), 38)"
7,"(('<s>', 'I-LOC'), 2)"
8,"(('Mateus', 'I-PER'), 2)"
9,"(('Barra', 'I-LOC'), 4)"
10,"(('México', 'I-LOC'), 2)"
11,"(('Tablet', 'I-MISC'), 1)"
12,"(('Mariachis', 'I-ORG'), 2)"
13,"(('Matheus', 'I-PER'), 2)"
14,"(('Mariachis', 'I-ORG'), 2)"
15,"(('Guacamole', 'I-LOC'), 10)"
16,"(('Breno', 'I-PER'), 1)"
17,"(('Rio', 'I-LOC'), 12)"
18,"(('Gabriel', 'I-PER'), 1)"
19,"(('de', 'I-MISC'), 2)"
